Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Fresno, CA","Seattle, WA",3,Silver,80,Female,1,2003,21,3,Personal Travel,0,0,25,Eco,16,3/16/14,OO,Northwest Business Airlines Inc.,Washington,California,20,0,6,No,103,748,yes,-122.274661,47.468409,-119.761114,36.787755
"Cleveland, OH","Madison, WI",4,Gold,49,Male,1,2004,23,3,Business travel,1,0,15,Eco,22,1/22/14,EV,FlyFast Airways Inc.,Wisconsin,Ohio,16,0,1,No,60,402,no,-89.250087,43.025075,-81.605443,41.443638
"Spokane, WA","Phoenix, AZ",4,Blue,24,Male,1,2005,31,3,Business travel,0,6,13,Business,16,1/16/14,US,Southeast Airlines Co.,Arizona,Washington,11,0,0,No,147,1020,no,-111.970041,33.494067,-117.352257,47.68043
"San Francisco, CA","Boston, MA",4,Blue,46,Female,1,2003,24,5,Business travel,1,80,50,Eco,26,2/26/14,VX,Cool&Young Airlines Inc.,Massachusetts,California,8,0,0,No,382,2704,no,-71.140708,42.373132,-122.383287,37.754645
"Houston, TX","Birmingham, AL",4,Blue,23,Female,2,2003,33,4,Business travel,0,80,30,Eco,9,2/9/14,EV,FlyFast Airways Inc.,Alabama,Texas,12,0,0,No,92,562,no,-86.791974,33.469107,-95.393531,29.784308
"Denver, CO","Salt Lake City, UT",3,Gold,34,Female,1,2010,15,33,Personal Travel,2,45,92,Eco,20,2/20/14,OU,Oursin Airlines Inc.,Utah,Colorado,13,7,0,No,57,391,no,-111.929515,40.640838,-104.955096,39.710774
"Orlando, FL","Atlanta, GA",4,Gold,53,Female,1,2006,15,7,Business travel,3,235,135,Eco,19,2/19/14,DL,Sigma Airlines Inc.,Georgia,Florida,7,0,0,No,56,404,no,-84.331858,33.824102,-81.411184,28.584434
"Billings, MT","Denver, CO",5,Silver,36,Male,1,2009,20,17,Personal Travel,2,0,80,Eco,26,2/26/14,OU,Oursin Airlines Inc.,Colorado,Montana,22,0,0,No,71,455,no,-104.955096,39.710774,-108.53184,45.79132
"Atlanta, GA","Memphis, TN",3,Gold,27,Female,2,2007,10,42,Business travel,2,0,65,Eco,1,3/1/14,DL,Sigma Airlines Inc.,Tennessee,Georgia,10,20,7,No,44,332,yes,-89.917857,35.095071,-84.331858,33.824102
"Grand Rapids, MI","Denver, CO",3,Silver,35,Male,1,2007,52,2,Business travel,0,15,150,Eco,6,3/6/14,WN,Cheapseats Airlines Inc.,Colorado,Michigan,10,0,0,No,126,1015,no,-104.955096,39.710774,-85.6686,42.942857
"Denver, CO","Spokane, WA",4,Silver,33,Female,0,2004,16,19,Business travel,1,45,120,Eco Plus,15,1/15/14,OU,Oursin Airlines Inc.,Washington,Colorado,14,2,0,No,97,836,no,-117.352257,47.68043,-104.955096,39.710774
"San Jose, CA","Chicago, IL",3,Blue,85,Male,1,2009,32,4,Personal Travel,0,35,60,Eco,26,2/26/14,AA,Paul Smith Airlines Inc.,Illinois,California,11,0,0,No,256,1829,no,-87.895427,41.827126,-121.945145,37.329845
"Orlando, FL","Philadelphia, PA",3,Blue,54,Male,1,2005,1,8,Business travel,1,31,22,Eco,28,1/28/14,US,Southeast Airlines Co.,Pennsylvania,Florida,6,11,16,No,138,861,yes,-75.298163,39.973331,-81.411184,28.584434
"Washington, DC","Kansas City, MO",2,Platinum,63,Male,1,2011,15,2,Business travel,0,0,154,Eco,12,2/12/14,EV,FlyFast Airways Inc.,Missouri,Virginia,7,0,0,No,120,926,no,-94.594897,39.039792,-77.18974,38.897394
"Austin, TX","San Francisco, CA",4,Silver,32,Female,1,2012,25,4,Business travel,0,90,90,Eco Plus,23,3/23/14,OO,Northwest Business Airlines Inc.,California,Texas,10,76,71,No,178,1504,yes,-122.383287,37.754645,-97.761533,30.358514
"Atlanta, GA","Pensacola, FL",2,Blue,71,Female,1,2011,19,9,Personal Travel,1,51,75,Eco,9,3/9/14,DL,Sigma Airlines Inc.,Florida,Georgia,9,0,0,No,50,271,no,-87.253422,30.48527,-84.331858,33.824102
"Salt Lake City, UT","Phoenix, AZ",5,Platinum,52,Male,1,2010,0,14,Business travel,3,0,55,Eco,29,1/29/14,WN,Cheapseats Airlines Inc.,Arizona,Utah,18,22,41,No,100,507,yes,-111.970041,33.494067,-111.929515,40.640838
"Baltimore, MD","Chicago, IL",3,Blue,68,Female,1,2012,2,6,Business travel,0,20,270,Eco,10,2/10/14,MQ,EnjoyFlying Air Services,Illinois,Maryland,11,0,0,No,86,622,no,-87.895427,41.827126,-76.64776,39.234099
"Dallas, TX","St. Louis, MO",2,Blue,33,Male,2,2005,39,8,Personal Travel,0,15,37,Eco,14,3/14/14,WN,Cheapseats Airlines Inc.,Missouri,Texas,18,47,49,No,90,546,yes,-90.340926,38.630705,-96.972001,32.812727
"Minneapolis, MN","New York, NY",3,Blue,69,Female,2,2003,26,2,Personal Travel,0,0,25,Eco Plus,5,3/5/14,DL,Sigma Airlines Inc.,New York,Minnesota,10,18,1,No,148,1020,no,-73.970221,40.718357,-93.2798,44.978156
"Houston, TX","Chicago, IL",4,Blue,50,Male,1,2008,15,8,Business travel,0,0,45,Eco Plus,31,3/31/14,OU,Oursin Airlines Inc.,Illinois,Texas,19,3,0,No,127,925,no,-87.895427,41.827126,-95.393531,29.784308
"New Orleans, LA","Dallas, TX",3,Blue,31,Female,0,2011,19,9,Business travel,1,45,60,Eco Plus,14,3/14/14,WN,Cheapseats Airlines Inc.,Texas,Louisiana,12,54,44,No,58,436,yes,-96.972001,32.812727,-90.143683,29.954653
"Atlanta, GA","New York, NY",3,Blue,45,Male,1,2008,57,3,Business travel,0,27,30,Business,6,2/6/14,MQ,EnjoyFlying Air Services,New York,Georgia,20,146,134,No,124,762,yes,-73.970221,40.718357,-84.331858,33.824102
"New York, NY","Miami, FL",3,Silver,33,Female,1,2011,25,18,Business travel,1,0,60,Eco,3,2/3/14,DL,Sigma Airlines Inc.,Florida,New York,15,167,165,No,146,1096,yes,-80.231428,26.175616,-73.970221,40.718357
"Las Vegas, NV","Minneapolis, MN",4,Silver,32,Male,1,2003,29,2,Business travel,0,10,15,Business,24,3/24/14,DL,Sigma Airlines Inc.,Minnesota,Nevada,11,5,6,No,166,1299,yes,-93.2798,44.978156,-115.167218,36.134893
"New Orleans, LA","Houston, TX",4,Blue,32,Male,1,2012,16,4,Business travel,2,6,45,Eco,7,1/7/14,OU,Oursin Airlines Inc.,Texas,Louisiana,21,14,0,No,42,305,no,-95.393531,29.784308,-90.143683,29.954653
"Boston, MA","Washington, DC",2,Blue,16,Female,2,2003,0,7,Personal Travel,1,0,30,Eco,7,3/7/14,B6,OnlyJets Airlines Inc.,Virginia,Massachusetts,8,0,0,No,58,399,no,-77.18974,38.897394,-71.140708,42.373132
"Cleveland, OH","New York, NY",5,Silver,54,Male,1,2004,4,18,Business travel,1,0,90,Eco,5,2/5/14,MQ,EnjoyFlying Air Services,New York,Ohio,14,49,90,No,90,419,yes,-73.970221,40.718357,-81.605443,41.443638
"Phoenix, AZ","Philadelphia, PA",3,Blue,23,Female,1,2007,1,12,Business travel,1,0,40,Eco,3,2/3/14,US,Southeast Airlines Co.,Pennsylvania,Arizona,10,463,503,No,317,2075,yes,-75.298163,39.973331,-111.970041,33.494067
"Salt Lake City, UT","Gillette, WY",4,Gold,39,Female,1,2003,4,19,Business travel,1,0,85,Eco,10,2/10/14,OO,Northwest Business Airlines Inc.,Wyoming,Utah,14,9,14,No,95,410,yes,-105.484013,44.273303,-111.929515,40.640838
"Denver, CO","Charlotte, NC",3,Blue,50,Male,1,2007,3,36,Business travel,1,0,40,Eco,18,1/18/14,US,Southeast Airlines Co.,North Carolina,Colorado,11,0,0,No,186,1337,no,-80.815826,35.249654,-104.955096,39.710774
"Oklahoma City, OK","Houston, TX",3,Platinum,75,Male,2,2009,33,3,Personal Travel,0,0,75,Eco,22,1/22/14,OU,Oursin Airlines Inc.,Texas,Oklahoma,18,3,0,No,60,395,no,-95.393531,29.784308,-97.524305,35.504826
"Denver, CO","Los Angeles, CA",3,Blue,30,Female,2,2006,37,2,Personal Travel,2,0,30,Eco,15,1/15/14,MQ,EnjoyFlying Air Services,California,Colorado,11,0,0,No,113,862,no,-118.104332,33.982668,-104.955096,39.710774
"Phoenix, AZ","Yuma, AZ",4,Silver,49,Female,1,2010,20,1,Business travel,0,145,60,Eco,24,2/24/14,OO,Northwest Business Airlines Inc.,Arizona,Arizona,9,0,0,No,29,160,no,-114.56828,32.677243,-111.970041,33.494067
"New York, NY","Boston, MA",4,Blue,69,Female,1,2009,39,1,Business travel,0,50,30,Eco Plus,5,3/5/14,AA,Paul Smith Airlines Inc.,Massachusetts,New York,10,0,0,No,45,187,no,-71.140708,42.373132,-73.970221,40.718357
"New York, NY","Charleston, SC",2,Blue,74,Male,1,2004,32,10,Personal Travel,0,0,135,Eco,19,2/19/14,B6,OnlyJets Airlines Inc.,South Carolina,New York,16,0,3,No,98,636,no,-80.015543,32.902255,-73.970221,40.718357
"Lihue, HI","Los Angeles, CA",4,Blue,50,Female,1,2010,51,3,Business travel,0,0,30,Eco,10,2/10/14,AA,Paul Smith Airlines Inc.,California,Hawaii,9,0,0,No,335,2615,no,-118.104332,33.982668,-159.361677,21.975754
"San Juan, PR","New York, NY",5,Platinum,49,Female,1,2003,1,7,Business travel,0,0,60,Eco,30,1/30/14,AA,Paul Smith Airlines Inc.,New York,Puerto Rico,19,0,1,No,199,1598,no,-73.970221,40.718357,-66.116246,18.288174
"Baltimore, MD","Buffalo, NY",2,Blue,65,Female,1,2003,33,1,Personal Travel,0,0,330,Eco,27,2/27/14,WN,Cheapseats Airlines Inc.,New York,Maryland,7,74,91,No,49,281,yes,-78.823675,42.92493,-76.64776,39.234099
"Chicago, IL","Houston, TX",4,Blue,36,Female,1,2007,2,10,Business travel,3,10,25,Eco,3,2/3/14,MQ,EnjoyFlying Air Services,Texas,Illinois,18,32,25,No,109,925,yes,-95.393531,29.784308,-87.895427,41.827126
"Atlanta, GA","Houston, TX",4,Blue,47,Female,1,2004,11,4,Mileage tickets,1,180,105,Eco Plus,5,2/5/14,DL,Sigma Airlines Inc.,Texas,Georgia,15,0,0,No,93,689,no,-95.393531,29.784308,-84.331858,33.824102
"Philadelphia, PA","Las Vegas, NV",5,Silver,72,Male,1,2006,13,3,Business travel,0,0,70,Eco,7,2/7/14,US,Southeast Airlines Co.,Nevada,Pennsylvania,14,13,0,No,232,2176,no,-115.167218,36.134893,-75.298163,39.973331
"Los Angeles, CA","San Diego, CA",5,Gold,51,Female,1,2012,8,1,Business travel,1,0,40,Eco,20,3/20/14,OO,Northwest Business Airlines Inc.,California,California,6,0,0,No,25,109,no,-117.128799,32.928728,-118.104332,33.982668
"Orlando, FL","Baltimore, MD",3,Blue,35,Male,1,2004,35,8,Business travel,4,0,135,Eco,14,2/14/14,WN,Cheapseats Airlines Inc.,Maryland,Florida,8,59,69,No,133,787,yes,-76.64776,39.234099,-81.411184,28.584434
"Albuquerque, NM","Dallas, TX",4,Blue,25,Male,2,2006,29,9,Business travel,0,0,105,Eco,7,1/7/14,WN,Cheapseats Airlines Inc.,Texas,New Mexico,19,16,11,No,90,580,yes,-96.972001,32.812727,-106.628138,35.143367
"Chicago, IL","Houston, TX",2,Blue,26,Female,2,2007,13,24,Business travel,2,0,90,Eco,17,1/17/14,OU,Oursin Airlines Inc.,Texas,Illinois,7,0,0,No,126,925,no,-95.393531,29.784308,-87.895427,41.827126
"Denver, CO","Las Vegas, NV",3,Blue,40,Male,1,2010,0,27,Mileage tickets,3,25,10,Eco,9,2/9/14,WN,Cheapseats Airlines Inc.,Nevada,Colorado,16,43,35,No,80,628,yes,-115.167218,36.134893,-104.955096,39.710774
"Denver, CO","Omaha, NE",4,Blue,48,Female,1,2008,50,8,Business travel,0,10,60,Eco,25,1/25/14,WN,Cheapseats Airlines Inc.,Nebraska,Colorado,18,58,58,No,70,472,yes,-96.034641,41.234859,-104.955096,39.710774
"Minneapolis, MN","Baltimore, MD",3,Blue,18,Male,1,2004,14,1,Business travel,1,30,117,Eco,3,3/3/14,DL,Sigma Airlines Inc.,Maryland,Minnesota,16,2,10,No,152,936,yes,-76.64776,39.234099,-93.2798,44.978156
"San Antonio, TX","Denver, CO",3,Blue,20,Female,2,2006,29,6,Mileage tickets,0,0,65,Eco Plus,9,3/9/14,EV,FlyFast Airways Inc.,Colorado,Texas,8,0,0,No,110,794,no,-104.955096,39.710774,-98.475376,29.514399
"Atlanta, GA","Kansas City, MO",4,Blue,58,Female,1,2006,4,8,Business travel,0,30,190,Eco,27,2/27/14,DL,Sigma Airlines Inc.,Missouri,Georgia,10,0,0,No,90,692,no,-94.594897,39.039792,-84.331858,33.824102
"Baton Rouge, LA","Houston, TX",4,Blue,78,Female,1,2007,19,8,Mileage tickets,0,0,90,Eco,21,2/21/14,EV,FlyFast Airways Inc.,Texas,Louisiana,15,0,0,No,36,253,no,-95.393531,29.784308,-91.038912,30.427885
"Atlanta, GA","Fayetteville, NC",4,Silver,41,Female,1,2010,6,5,Business travel,1,185,50,Eco,4,1/4/14,EV,FlyFast Airways Inc.,North Carolina,Georgia,7,0,0,No,62,331,no,-78.977004,35.052625,-84.331858,33.824102
"New Orleans, LA","Houston, TX",2,Blue,45,Male,1,2012,74,9,Personal Travel,0,0,20,Eco,19,1/19/14,WN,Cheapseats Airlines Inc.,Texas,Louisiana,20,0,0,No,42,302,no,-95.393531,29.784308,-90.143683,29.954653
"Philadelphia, PA","Boston, MA",2,Blue,68,Male,1,2010,45,2,Personal Travel,0,0,90,Eco Plus,11,2/11/14,US,Southeast Airlines Co.,Massachusetts,Pennsylvania,12,0,0,No,65,280,no,-71.140708,42.373132,-75.298163,39.973331
"Denver, CO","Washington, DC",4,Silver,31,Female,1,2010,7,14,Business travel,3,0,60,Eco,1,3/1/14,OU,Oursin Airlines Inc.,Virginia,Colorado,8,14,11,No,219,1476,yes,-77.18974,38.897394,-104.955096,39.710774
"Phoenix, AZ","Los Angeles, CA",3,Blue,32,Female,1,2004,23,30,Mileage tickets,4,0,35,Eco,23,3/23/14,US,Southeast Airlines Co.,California,Arizona,6,0,0,No,56,370,no,-118.104332,33.982668,-111.970041,33.494067
"Las Vegas, NV","Boston, MA",3,Blue,22,Female,1,2010,8,4,Business travel,0,0,60,Eco,2,3/2/14,B6,OnlyJets Airlines Inc.,Massachusetts,Nevada,8,44,68,No,359,2381,yes,-71.140708,42.373132,-115.167218,36.134893
"Portland, OR","San Francisco, CA",4,Blue,40,Male,1,2004,42,15,Business travel,1,0,100,Eco,29,3/29/14,AS,FlyToSun Airlines Inc.,California,Oregon,17,0,0,No,74,550,no,-122.383287,37.754645,-122.651087,45.520404
"Boston, MA","Washington, DC",4,Blue,56,Female,1,2006,10,8,Business travel,0,45,80,Eco,19,2/19/14,US,Southeast Airlines Co.,Virginia,Massachusetts,22,0,0,No,59,399,no,-77.18974,38.897394,-71.140708,42.373132
"Atlanta, GA","Pensacola, FL",2,Blue,71,Female,1,2011,19,9,Personal Travel,1,51,75,Eco,9,3/9/14,DL,Sigma Airlines Inc.,Florida,Georgia,9,0,0,No,50,271,no,-87.253422,30.48527,-84.331858,33.824102
"Kansas City, MO","Boston, MA",4,Silver,27,Male,2,2004,37,5,Business travel,0,30,90,Eco,22,2/22/14,WN,Cheapseats Airlines Inc.,Massachusetts,Missouri,9,6,0,No,193,1256,no,-71.140708,42.373132,-94.594897,39.039792
"Los Angeles, CA","Chicago, IL",3,Blue,78,Female,1,2004,59,7,Personal Travel,0,0,55,Business,15,2/15/14,AA,Paul Smith Airlines Inc.,Illinois,California,9,0,0,No,254,1744,no,-87.895427,41.827126,-118.104332,33.982668
"Denver, CO","Washington, DC",3,Blue,55,Female,1,2010,13,5,Business travel,0,0,135,Eco,2,1/2/14,OU,Oursin Airlines Inc.,Virginia,Colorado,17,33,60,No,210,1452,yes,-77.18974,38.897394,-104.955096,39.710774
"Houston, TX","Wichita, KS",3,Blue,19,Male,1,2010,23,6,Mileage tickets,0,7,40,Eco,7,1/7/14,EV,FlyFast Airways Inc.,Kansas,Texas,18,NA,NA,Yes,NA,542,no,-97.327333,37.679735,-95.393531,29.784308
"Los Angeles, CA","Chicago, IL",3,Blue,40,Male,1,2003,21,6,Business travel,0,0,90,Eco,12,1/12/14,WN,Cheapseats Airlines Inc.,Illinois,California,9,7,13,No,256,1750,yes,-87.895427,41.827126,-118.104332,33.982668
"Seattle, WA","San Francisco, CA",2,Blue,28,Male,1,2004,11,5,Business travel,1,0,75,Eco,22,1/22/14,OO,Northwest Business Airlines Inc.,California,Washington,16,0,0,No,109,679,no,-122.383287,37.754645,-122.274661,47.468409
"Las Vegas, NV","Portland, OR",4,Blue,40,Male,1,2011,10,19,Business travel,2,0,180,Eco,1,3/1/14,AS,FlyToSun Airlines Inc.,Oregon,Nevada,7,0,0,No,103,763,no,-122.651087,45.520404,-115.167218,36.134893
"Chicago, IL","Milwaukee, WI",4,Blue,40,Male,1,2003,42,6,Mileage tickets,3,60,0,Eco,22,1/22/14,OO,Northwest Business Airlines Inc.,Wisconsin,Illinois,5,0,0,No,19,67,no,-88.100492,43.055654,-87.895427,41.827126
"Los Angeles, CA","St. Louis, MO",2,Blue,77,Female,1,2006,31,7,Personal Travel,0,0,147,Eco Plus,28,1/28/14,AA,Paul Smith Airlines Inc.,Missouri,California,18,6,0,No,216,1592,no,-90.340926,38.630705,-118.104332,33.982668
"Baltimore, MD","Detroit, MI",4,Blue,39,Male,1,2007,7,30,Business travel,2,0,30,Business,9,3/9/14,WN,Cheapseats Airlines Inc.,Michigan,Maryland,16,21,5,No,62,409,no,-83.227554,42.490005,-76.64776,39.234099
"Minneapolis, MN","Phoenix, AZ",3,Blue,70,Female,1,2007,14,6,Business travel,0,30,15,Eco,21,3/21/14,WN,Cheapseats Airlines Inc.,Arizona,Minnesota,10,93,71,No,153,1276,yes,-111.970041,33.494067,-93.2798,44.978156
"Atlanta, GA","Orlando, FL",2,Blue,80,Female,1,2012,59,6,Personal Travel,0,0,10,Eco,31,3/31/14,FL,FlyHere Airways,Florida,Georgia,20,0,0,No,62,404,no,-81.411184,28.584434,-84.331858,33.824102
"Columbus, OH","Atlanta, GA",2,Blue,71,Female,1,2003,33,1,Personal Travel,0,0,145,Eco,18,2/18/14,DL,Sigma Airlines Inc.,Georgia,Ohio,17,81,66,No,64,447,yes,-84.331858,33.824102,-82.968532,40.021161
"Seattle, WA","Los Angeles, CA",3,Blue,85,Female,1,2012,24,8,Personal Travel,0,0,60,Eco,10,1/10/14,VX,Cool&Young Airlines Inc.,California,Washington,19,0,0,No,147,954,no,-118.104332,33.982668,-122.274661,47.468409
"Atlanta, GA","Grand Rapids, MI",4,Gold,30,Male,2,2009,21,7,Business travel,0,0,45,Eco,20,2/20/14,EV,FlyFast Airways Inc.,Michigan,Georgia,12,0,2,No,105,640,no,-85.6686,42.942857,-84.331858,33.824102
"Atlanta, GA","New York, NY",4,Blue,24,Female,2,2005,41,15,Business travel,1,0,55,Eco,8,1/8/14,DL,Sigma Airlines Inc.,New York,Georgia,8,0,0,No,123,762,no,-73.970221,40.718357,-84.331858,33.824102
"Dothan, AL","Atlanta, GA",4,Silver,38,Female,1,2003,13,42,Business travel,2,0,45,Eco,25,3/25/14,EV,FlyFast Airways Inc.,Georgia,Alabama,13,0,0,No,34,170,no,-84.331858,33.824102,-85.425104,31.223667
"Charleston, SC","Atlanta, GA",5,Platinum,48,Female,1,2011,20,15,Business travel,3,0,25,Eco,3,2/3/14,DL,Sigma Airlines Inc.,Georgia,South Carolina,8,0,0,No,39,259,no,-84.331858,33.824102,-80.015543,32.902255
"Anchorage, AK","Fairbanks, AK",5,Blue,32,Female,2,2005,8,4,Business travel,0,11,8,Eco,29,1/29/14,AS,FlyToSun Airlines Inc.,Alaska,Alaska,18,0,0,No,45,261,no,-147.968377,64.806567,-149.847166,61.167916
"Miami, FL","Orlando, FL",2,Blue,42,Male,1,2004,25,9,Business travel,1,120,135,Eco,16,2/16/14,AA,Paul Smith Airlines Inc.,Florida,Florida,20,1,0,No,36,192,no,-81.411184,28.584434,-80.231428,26.175616
"Washington, DC","Orlando, FL",2,Gold,45,Male,1,2006,0,4,Business travel,1,5,0,Eco,27,3/27/14,US,Southeast Airlines Co.,Florida,Virginia,8,0,7,No,107,759,yes,-81.411184,28.584434,-77.18974,38.897394
"Seattle, WA","Atlanta, GA",3,Blue,68,Female,2,2004,29,8,Personal Travel,2,0,120,Eco,23,2/23/14,DL,Sigma Airlines Inc.,Georgia,Washington,20,0,2,No,318,2182,no,-84.331858,33.824102,-122.274661,47.468409
"Philadelphia, PA","Atlanta, GA",4,Blue,50,Male,2,2003,13,6,Business travel,0,0,45,Eco,18,2/18/14,DL,Sigma Airlines Inc.,Georgia,Pennsylvania,11,28,25,No,98,666,yes,-84.331858,33.824102,-75.298163,39.973331
"Atlanta, GA","Minneapolis, MN",2,Blue,47,Female,2,2006,28,2,Personal Travel,0,120,70,Business,14,3/14/14,DL,Sigma Airlines Inc.,Minnesota,Georgia,7,0,0,No,117,907,no,-93.2798,44.978156,-84.331858,33.824102
"Sacramento, CA","Las Vegas, NV",4,Silver,65,Female,2,2008,19,2,Mileage tickets,0,15,90,Eco,31,1/31/14,WN,Cheapseats Airlines Inc.,Nevada,California,10,70,75,No,75,397,yes,-115.167218,36.134893,-121.324669,38.638578
"Indianapolis, IN","Minneapolis, MN",2,Blue,61,Male,1,2008,57,8,Personal Travel,0,0,15,Eco,4,3/4/14,DL,Sigma Airlines Inc.,Minnesota,Indiana,19,0,0,No,61,503,no,-93.2798,44.978156,-86.145521,39.811262
"Tucson, AZ","Denver, CO",3,Silver,31,Male,1,2004,6,9,Business travel,1,0,95,Eco,24,3/24/14,WN,Cheapseats Airlines Inc.,Colorado,Arizona,17,90,87,No,94,639,yes,-104.955096,39.710774,-110.946141,32.254891
"Minneapolis, MN","Cincinnati, OH",3,Platinum,70,Male,1,2003,46,5,Personal Travel,0,0,30,Eco,5,1/5/14,OO,Northwest Business Airlines Inc.,Kentucky,Minnesota,11,NA,NA,Yes,NA,596,no,-84.462043,39.185505,-93.2798,44.978156
"Detroit, MI","Denver, CO",3,Blue,26,Male,2,2004,35,5,Business travel,1,30,120,Business,9,3/9/14,DL,Sigma Airlines Inc.,Colorado,Michigan,16,0,0,No,138,1123,no,-104.955096,39.710774,-83.227554,42.490005
"Atlanta, GA","Jacksonville, FL",1,Blue,66,Female,2,2009,25,10,Business travel,0,0,65,Eco,30,3/30/14,DL,Sigma Airlines Inc.,Florida,Georgia,13,0,9,No,46,270,yes,-81.64274,30.24014,-84.331858,33.824102
"Philadelphia, PA","Houston, TX",4,Blue,47,Male,2,2011,3,7,Business travel,0,0,72,Eco,1,2/1/14,OU,Oursin Airlines Inc.,Texas,Pennsylvania,19,37,21,No,146,1325,yes,-95.393531,29.784308,-75.298163,39.973331
"New York, NY","Houston, TX",4,Silver,40,Female,1,2012,7,11,Business travel,1,0,30,Eco,3,3/3/14,OU,Oursin Airlines Inc.,Texas,New York,17,82,81,No,169,1416,yes,-95.393531,29.784308,-73.970221,40.718357
"Washington, DC","Milwaukee, WI",4,Silver,40,Female,1,2007,16,2,Mileage tickets,0,105,140,Business,23,2/23/14,FL,FlyHere Airways,Wisconsin,Virginia,19,0,0,No,84,634,no,-88.100492,43.055654,-77.18974,38.897394
"Tulsa, OK","St. Louis, MO",4,Silver,50,Male,1,2006,8,7,Business travel,2,172,45,Eco,14,2/14/14,WN,Cheapseats Airlines Inc.,Missouri,Oklahoma,20,15,0,No,54,351,no,-90.340926,38.630705,-95.901334,36.105449
